see,outside,NN,3
broke,with,NN,3
says,On,NN,1
rising,from,NNS,3
rising,in,NN,3
fires,around,PRP,3
learn,before,NN,3
driving,through,NN,3
be,off,NN,3
guys,in,NN,3
part,for,NNP,3
part,of,PRP,6
load,of,NN,3
class,of,NNS,3
working,in,NNS,3
war,in,NN,3
war,of,NN,3
revolution,against,NN,3
wealth,of,NN,3
hunting,in,NN,3
hunting,around,NNS,3
said,about,NN,3
there,among,NN,3
take,in,NN,6
thighs,in,NNP,3
thighs,in,NN,3
back,to,NNS,3
sucked,at,NNS,3
fat,in,NN,3
fat,of,NN,3
look,for,DT,3
rolling,along,NN,3
was,by,NN,3
was,beside,PRP,3
be,at,NN,6
waited,around,NN,3
finish,at,NN,6
waiting,around,NN,3
walked,to,PRP,3
DATE,of,PRP,3
rolling,down,NN,3
pressed,to,NN,3
was,about,NN,3
shoot,in,NN,3
nothing,on,PRP,3
nothing,except,NNS,3
tears,of,NNP,3
live,at,NNP,6
give,of,NNS,3
talking,to,PRP,3
lived,in,NN,3
was,for,PRP,3
picture,of,NNP,3
more,from,PRP,3
come,to,DT,3
die,in,JJ,3
want,after,DT,3
do,in,NN,3
go,for,DT,3
stuffed,into,NN,3
pocket,of,NNS,3
check,on,PRP,3
then,in,NNS,3
be,In,NNS,1
everybody,in,NNP,6
day,of,NN,3
want,At,NN,1
know,about,NN,3
heard,of,PRP,6
find,in,NNP,3
take,to,NNP,3
takes,to,NNP,6
guys,with,NNS,9
guys,at,NN,6
see,with,NN,3
magic,of,NN,3
ask,about,NNP,3
find,In,NN,1
licenses,of,NNS,3
ask,about,NN,3
club,in,NNP,3
happening,on,NNP,3
smiles,at,PRP,6
been,to,NN,3
here,before,NN,3
came,on,NN,3
was,with,NN,3
asking,about,NN,6
walked,In,NN,1
walked,into,NN,6
go,In,NN,1
burned,into,NN,3
knows,about,NN,3
call,from,NN,3
slept,with,PRP,3
cook,into,NN,3
says,In,NN,1
burning,with,NN,3
yells,over,NN,3
relax,with,NN,3
tornado,in,NN,3
died,from,NN,3
motel,in,NNP,3
get,After,CD,1
problem,with,NNS,3
here,in,NNP,3
talked,about,PRP,6
talked,to,NNS,3
took,to,NNP,3
look,for,NN,3
have,in,NNP,6
PERSON,in,NNP,3
ORG,in,NNP,6
do,about,PRP,6
person,in,NN,3
put,around,NNS,3
whispers,into,NN,3
whispering,in,NN,3
get,in,NNS,3
lose,except,NN,3
trash,of,NN,6
everything,about,PRP,3
children,of,NN,3
mess,with,PRP,6
fight,with,NN,3
loyal,to,NNP,3
talked,behind,NN,3
hate,in,NN,3
rented,in,NN,3
difference,between,PRP,3
know,about,NNP,3
tie,to,NN,3
tie,at,NN,3
get,for,PRP,3
shining,through,NNS,3
fly,to,NNP,3
look,into,NN,3
see,with,NNS,3
names,of,NNS,3
cities,like,NNP,3
sits,In,NN,1
sits,on,NN,3
says,into,NN,3
byproduct,of,NN,3
move,in,NN,3
hand,on,NN,3
take,With,NN,1
looks,over,NN,3
touch,in,NN,3
monkey,with,NN,3
reading,to,NNS,3
bruise,on,NN,3
stands,like,NN,3
do,to,NN,3
everywhere,at,NN,3
sort,of,NN,12
license,with,NN,3
nobody,at,NN,3
calls,by,NN,3
are,to,NNS,3
envied,with,NN,3
bored,with,NN,3
fell,on,NN,3
expect,from,NN,6
tables,in,NN,3
see,At,NNS,1
smiling,at,PRP,3
everything,about,NNP,3
knew,as,NNP,3
smells,like,NN,3
want,from,PRP,3
run,during,NN,3
drops,On,NN,1
drops,to,CD,3
loyalty,to,NNP,3
tie,to,NNP,3
was,In,NN,1
deaf,on,NN,3
kiss,from,NN,3
burned,with,NN,3
be,in,NNP,3
walk,In,NN,1
walk,around,NN,3
crowd,in,NN,3
become,in,NN,3
game,on,NN,3
guys,to,NN,3
reflected,in,NNS,3
fighters,for,NNP,3
evicted,After,NNS,1
evicted,from,NN,3
evict,in,CD,3
